Feature,Mean_Abs_SHAP,Std_SHAP
i,0.04013671271282421,0.041938640344991465
assent,0.034831686944517846,0.036402642596854266
death,0.030780571786965763,0.036390171997339724
Conversation,0.028395406551220765,0.03211634887024428
emo_sad,0.027785397471824992,0.029884443984134985
swear,0.026908658460545392,0.028351447140820257
illness,0.02520926080959292,0.02813258423239351
netspeak,0.022591637743936927,0.02620729988856996
want,0.021404806779576926,0.02264999239673071
QMark,0.020541587191928383,0.02305082578413543
polite,0.014940350263420539,0.01809038172001784
friend,0.014568113246279227,0.015138513241906472
auditory,0.013940653832972669,0.015779943235713495
food,0.012858686077678346,0.017717872211421352
emo_anx,0.0128155524253665,0.013616926967271988
we,0.01112729748301099,0.01188978184985804
certitude,0.010947279537463115,0.011374135717590534
relig,0.010878537282342766,0.016833519700726326
number,0.010834128209766416,0.015765316186210954
OtherP,0.010635678334760342,0.013160598935896273
sexual,0.010342542204324045,0.010864250426866062
emo_anger,0.010105541433970395,0.010532564713031047
lack,0.00977915432556318,0.011499244243783745
focuspresent,0.009407492296701606,0.011502382781679279
you,0.008961573250466905,0.00949384573940666
leisure,0.008721035785594312,0.014622740542223883
Linguistic,0.007767736640429944,0.01338886534452743
substances,0.0074452063921918825,0.00831253014883488
conj,0.006729125739092616,0.01020879166658881
home,0.006722220066619307,0.009464249291011877
AllPunc,0.0066538455911996,0.00948749580476694
achieve,0.0065395310416687434,0.008293861463073848
auxverb,0.00611384207241579,0.011375849118814263
verb,0.005811518357129484,0.010179666156652183
wellness,0.005443077754627111,0.006609061722398154
allnone,0.0054293873663903295,0.006269940177784346
insight,0.005052962653698791,0.0064556109367121875
pronoun,0.005033120883057904,0.0077521657260841955
function,0.0045820501245285045,0.006988293110614547
emo_pos,0.0045009926687835,0.007081127585689827
mental,0.004467162504231967,0.005098624627664543
BigWords,0.004355734538738392,0.0068213398128724725
focuspast,0.004332335689308158,0.00526822788015809
tone_pos,0.004322018316096294,0.0060795193645728175
moral,0.004209266598992187,0.007292224925606915
fulfill,0.00409015554995286,0.00503527157848989
memory,0.003915335691964859,0.00455029520873784
attention,0.003879009744161502,0.0052871561879047875
Cognition,0.003626548614600423,0.0065376176102772765
emo_neg,0.0034090418061461123,0.004936253557424911
ipron,0.0032670326683567927,0.004804355538991888
det,0.003048364642836351,0.004554666942702486
emotion,0.0025929877288243986,0.00435766870169718
article,0.002466646500553292,0.0049123507941353905
Period,0.0024205349665001267,0.0031610249482969346
WPS,0.002404155028709343,0.003655477148765725
cogproc,0.002313927106413287,0.0037996510888342154
family,0.002310141169183291,0.002878283413658632
reward,0.002212896381029282,0.003349414134265855
Exclam,0.002165961705768247,0.003062375387724533
female,0.0021041361754537313,0.003196485455133391
Tone,0.0020994056188616697,0.002781260836485584
Lifestyle,0.0020618932714118743,0.0026570460913570835
tech,0.0020155054150423663,0.0036961434742779652
feeling,0.0019783889039652635,0.0030012704185654613
Social,0.0018594283253989294,0.0024798052654725618
adj,0.0017958826145432634,0.0032513884192212888
power,0.001770909638683581,0.002382231891819328
prep,0.0017552637741273078,0.002800536542554732
nonflu,0.0017148782797441933,0.002315733749451658
socbehav,0.0015446527485221797,0.0021214636260599782
time,0.0015032010313086829,0.0023432377526603747
conflict,0.0014913000082979744,0.0023158141655583394
negate,0.0014814925898705045,0.001908580288586318
Perception,0.0014469846660701408,0.0022123621932512412
prosocial,0.001432944495335193,0.0019324027740082812
male,0.0014144988013120145,0.002262617651847434
risk,0.0012962670063909755,0.001880774239223865
Analytic,0.0012664818654194248,0.0017318690685460528
Authentic,0.0012591200679747177,0.0018931788350561411
cause,0.001250520399454439,0.002705312323747527
health,0.0012494575356587641,0.002067033636783049
politic,0.0012455985058319238,0.001981679410237376
shehe,0.0012067460371343306,0.0017322278005728478
quantity,0.0010657446090953505,0.001509831035211749
space,0.0010656350146489796,0.00164278766881013
Apostro,0.0010610487659970566,0.0015549754923111492
Clout,0.0010322562044378326,0.0015421403177063647
adverb,0.0009831580895788114,0.0016881227878762825
affiliation,0.000977298553765556,0.0014514504995697165
Dic,0.0009729930282380769,0.0018724294809231408
differ,0.0009685829744708797,0.0015013599871004655
acquire,0.0009676058143797776,0.0014531167191714758
work,0.0009640185665938523,0.0013478544778915877
curiosity,0.0009327057948877443,0.0012963713564170167
Comma,0.0008976704675025131,0.0013952899938583995
ppron,0.0008832166604369605,0.0013493976087318093
need,0.0008651793368660167,0.0011947092762114272
comm,0.0008629104597101915,0.0012223652379276227
Affect,0.0008610662572278313,0.001518008343722802
socrefs,0.0008608573273749711,0.0012398585563457695
visual,0.0008585610873451976,0.0014423747912416071
tentat,0.0008318030058325929,0.0012697745674702492
Drives,0.0007748974911776006,0.0011413860903705106
Culture,0.0007474651952021373,0.0013151961577006998
money,0.0007466572891506599,0.0011923506676857294
tone_neg,0.0007285208505677659,0.001176716490886076
focusfuture,0.0007198519733723611,0.0011269866706829813
they,0.0006808897266577214,0.0012846548950993188
discrep,0.0006716058690427262,0.0011729343338090774
ethnicity,0.0006595538776514967,0.0016435138225190619
fatigue,0.000645716637076764,0.0011561767567031258
motion,0.0006410196987611718,0.0011039855889946129
allure,0.0005189386763724194,0.000843005032979724
Physical,0.00044250543015453037,0.000850865713248429
filler,0.00011968634667583941,0.00034625650696723704
Emoji,0.0,0.0
